,0
387,기업 고객 정조준한 카카오..카톡 광고창·AI로 승부 낸다
388,"금융권 다음 격전지는 AI…인력대체 효과 톡톡, 고도화는 ‘글쎼’"
389,AI 추천 기술 적용해 모바일 검색화면 전면 개편
390,", 세계 딥러닝 학회 'ICLR'에 3년째 참석"
391," AI의 성공, 데이터와 사람에 달렸다"
392,"KB금융-, 금융 전용 AI분석엔진 개발"
393,"-LGU+-시설관리공단, “AI로 사화적약자가 행복한 나라 만든다”"
394,", 글로벌 딥러닝 컨퍼런스 ‘ICLR 2019’ 연구 성과 공개"
395,"우리은행,  라인과 AI 기술 협업"
396," AI 음악 바이브, 카 커넥티비티 지원..3개월 무료"
397,AI시대 가짜뉴스의 명과 암
398,", 뉴스 '자체편집' 없앤다.. AI 기술로 추천"
399,SKT 이어 KT도 ‘보이는 AI 스피커’ 출시… 이통3사 경쟁 본격화
400,"우리은행,  라인과 AI 업무협약"
401," 11일부터 '신규 페이지' 기본 설정..""AI기반 개인화 콘텐츠 ..."
402,"-LG유플러스, 지체장애인 300명에 AI 플랫폼 '클로바' 탑재된..."
403,디지털 역량 강화 위한 4대 은행장의 선택은?
404,KB금융 '음성 금융거래 AI' 개발 나선다
405,"우리은행,  라인과 AI 기술 '협업'"
406,"LG유플러스·, 장애인콜택시 이용 회원에게 AI 스피커 전달"
407,"LG유플러스·, 장애인콜택시 이용 회원에게 AI 스피커 전달"
408,"LG유플러스·, 장애인콜택시 이용 회원에게 AI 스피커 전달"
409," 뉴스, 4일부터 전면 AI 편집"
410,LG도 뛰어든 AI스피커 경쟁..스마트홈 허브 '2라운드'
411, ' 최신 AI기술에 쏠린 시선들'
412,", ‘투자-양성평등-사회공헌’서 톱 클래스 모범기업"
413,韓 업체끼리 출혈경쟁 해외부동산 거품 키워
414,화면 탑재한 '어벤져스' AI스피커 나왔다
415,"우리은행,  라인과 AI 기술 협업 진행"
416," LG유플러스·, 장애인콜택시 이용 회원에게 AI 스피커..."
417," LG유플러스·, 장애인콜택시 이용 회원에게 AI 스피커..."
418,"'손정의 펀드' 등에 탄 쿠팡, 로켓 쏴 올릴까?"
419,"LGU+, 아이언맨이 쏙…AI스피커 ‘U+AI_어벤져스’ 출시"
420," LG유플러스·, 장애인콜택시 이용 회원에게 AI 스피커..."
421,", 개인화 검색하니 콘텐츠 소비 4배 늘어"
422,"KB금융, 와 손잡고 금융 AI 비즈니스 사업 추진"
423,삼성카드 '아지냥이' 에  AI 챗봇 적용
424,"KB금융, 와 금융 전용 AI 프로젝트 추진한다"
425, 검색도 ‘엣지있게’ 가야 합니다
426,", 자체 뉴스편집 모두 없애..AI 추천 대체"
427," 넥슨지티(주), (주)GS리테일, (주)LG CNS,..."
428,"“이제는 보세요” 통신3사, 시청각으로 진화한 AI 스피커 경쟁 2차..."
429,", 내달 5일 'AI콜로키움' 개최"
